SMILES,IC50_log
CC(O)C(NCC1=CC(=C(OCC2=C(C)C(=CC=C2)C3=CC=CC=C3)C=C1OCC4=CN=CC=C4)[N+]([O-])=O)C(O)=O,2.70805020110221
CC1=C(COC2=C(C=C(CN3CCCCC3C(O)=O)C(=C2)OCC4=CN=CC=C4)[N+]([O-])=O)C=CC=C1C5=CC=CC=C5,2.1972245773362196
CC1=C(COC2=C(C=C(CNC(CO)C(O)=O)C(=C2)OCC3=CC(=NC=C3)C#N)[N+]([O-])=O)C=CC=C1C4=CC=CC=C4,2.1972245773362196
CC(O)C(NCC1=CC(=C(OCC2=C(C)C(=CC=C2)C3=CC=CC=C3)C=C1OCC4=CC(=NC=C4)C#N)[N+]([O-])=O)C(O)=O,2.302585092994046
CC1=C(COC2=C(C=C(CN3CCCCC3C(O)=O)C(=C2)OCC4=CC(=NC=C4)C#N)[N+]([O-])=O)C=CC=C1C5=CC=CC=C5,2.302585092994046
CC1=C(COC2=C(C=C(CN3CCCCC3C(=O)NCC(C)(C)O)C(=C2)OCC4=CC(=CC=C4)C#N)[N+]([O-])=O)C=CC=C1C5=CC=CC=C5,1.6094379124341003
CC1=C(COC2=C(C=C(CN3CCCCC3C(=O)NC(CO)C(O)=O)C(=C2)OCC4=CC(=CC=C4)C#N)[N+]([O-])=O)C=CC=C1C5=CC=CC=C5,2.0794415416798357
CC1=C(COC2=C(C=C(CN3CCCCC3C(=O)N4CCCC4C(O)=O)C(=C2)OCC5=CC(=CC=C5)C#N)[N+]([O-])=O)C=CC=C1C6=CC=CC=C6,1.6094379124341003
COC1=C(CNCCO)C=CC(=N1)OC2CCC3=C2C=CC=C3C4=CC=CC=C4,3.1780538303479458
COC1=C(CNCCNC(C)=O)C=CC(=N1)OC2CCC3=C2C=CC=C3C4=CC=CC=C4,3.044522437723423
COC1=C(CNCCO)C=CC(=N1)OC2CCC3=C2C=CC=C3C4=CC=CC=C4,4.060443010546419
COC1=C(CNCCNC(C)=O)C=CC(=N1)OC2CCC3=C2C=CC=C3C4=CC=CC=C4,4.442651256490317
COC1=C(CNCCNC(C)=O)C=CC(=N1)OC2CCCC3=C(C=CC=C23)C4=CC=CC=C4,3.871201010907891
COC1=C(CNCCO)C=C(Cl)C(=N1)OC2CCC3=C2C=CC=C3C4=CC=CC=C4,2.0794415416798357
COC1=C(CNCCO)C=C(Cl)C(=N1)OC2CCC3=C2C=CC=C3C4=CC=C5OCCOC5=C4,2.302585092994046
COC1=C(CNCCO)C=C(Br)C(=N1)OC2CCC3=C2C=CC=C3C4=CC=C5OCCOC5=C4,3.9318256327243257
COCCOC1=CC(=CC=C1)C2=CC=CC3=C2CCC3OC4=NC(=C(CNCCO)C=C4Cl)OC,4.553876891600541
